Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
87740,28.4655,89.1061,36,88,43,92,false,69107
90670,27.5105,88.3433,29,87,33,84,false,69107
83799,27.6006,91.9550,33,92,34,90,false,69107
85728,28.5335,89.0681,25,88,39,87,false,69107
87517,29.4885,91.9570,37,93,35,90,false,69107
82581,30.6376,90.4074,35,90,45,88,false,69107
84343,28.3043,90.6767,32,93,41,93,false,69107
85358,26.3273,89.7287,24,89,37,90,false,69107
83521,27.7648,90.1782,30,92,42,89,false,69107
86430,27.4344,89.7708,32,91,32,90,false,69107
82951,31.6006,90.7467,36,92,45,91,false,69107
88899,30.7838,91.4194,33,91,37,89,false,69107
88016,29.9109,90.7307,39,91,42,89,false,69107
87387,27.4845,90.7658,30,92,42,93,false,69107
84153,29.5135,92.7958,32,94,36,92,false,69107
84272,27.0150,89.6206,28,89,39,89,false,69107
87196,28.2763,90.0971,34,91,38,92,false,69107
85622,29.5405,90.4144,34,90,44,90,false,69107
85555,28.9700,91.1682,34,94,40,92,false,69107
80753,33.2012,90.9209,39,91,42,91,false,69107
86524,30.3504,91.6196,35,92,43,91,false,69107
82825,30.0190,90.7708,37,93,41,91,false,69107
89389,30.0190,90.7878,38,93,40,90,false,69107
82392,29.0811,90.2302,31,92,43,92,false,69107
90751,24.9650,89.9459,26,94,32,89,false,69107
86251,27.8899,88.4875,34,89,35,86,false,69107
89219,28.8448,89.9389,33,91,42,93,false,69107
83335,29.1922,90.4274,29,89,42,87,false,69107
89477,28.5836,89.8168,34,90,34,88,false,69107
85600,28.1992,90.4635,33,90,39,86,false,69107
89219,27.8829,89.5035,37,90,41,90,false,69107
79868,30.4334,90.4865,35,91,39,91,false,69107
83837,29.6206,90.4274,30,93,38,89,false,69107
85384,28.4585,90.5365,35,92,37,91,false,69107
84154,31.3133,91.2132,39,92,42,89,false,69107
89193,26.4955,90.7277,25,91,30,91,false,69107
83188,27.7818,89.9530,33,91,38,90,false,69107
89239,27.9860,90.5826,34,93,38,92,false,69107
93317,29.6456,89.9119,39,91,39,87,false,69107
85410,27.7628,90.5846,37,92,37,91,false,69107
91969,25.8038,90.8108,34,92,38,91,false,69107
85238,28.1772,90.2452,33,90,32,88,false,69107
83471,29.7477,87.7718,35,86,37,86,false,69107
84878,28.0681,89.4885,35,91,43,88,false,69107
84573,30.3163,92.1592,37,94,44,92,false,69107
84549,29.9610,88.8278,34,87,37,90,false,69107
83999,29.8278,91.9990,37,94,45,94,false,69107
90436,27.1792,89.2923,29,91,37,87,false,69107
91989,27.7948,90.5345,32,91,39,88,false,69107
90083,29.6557,91.7397,35,93,40,93,false,69107
84907,27.8869,90.1091,31,91,35,89,false,69107
87465,25.8388,90.1622,31,89,33,88,false,69107
88379,29.0721,89.7708,34,89,32,87,false,69107
86931,26.8418,90.3443,29,92,34,92,false,69107
80767,28.4565,89.8038,40,93,45,93,false,69107
87561,30.0390,91.1141,32,92,37,90,false,69107
88224,25.8058,89.7658,34,91,37,91,false,69107
85207,31.2402,91.4334,37,92,44,91,false,69107
85444,28.5095,90.2292,33,92,41,90,false,69107
86720,26.6827,88.8108,27,89,33,90,false,69107
89221,26.6757,90.1752,34,91,34,91,false,69107
82691,28.7267,86.6937,34,86,38,83,false,69107
84463,30.6066,90.4294,42,92,44,91,false,69107
86641,27.8949,90.6707,35,91,41,92,false,69107
83205,29.0771,89.0651,41,91,42,90,false,69107
85676,29.1992,89.7467,35,90,35,85,false,69107
90133,25.3714,90.5636,29,91,31,90,false,69107
83126,27.6587,89.8358,29,89,38,87,false,69107
86963,29.2793,89.3463,33,89,33,85,false,69107
90283,31.0210,90.8839,32,91,42,90,false,69107
85388,28.7007,90.2462,39,90,40,89,false,69107
89794,27.3213,89.6607,28,90,36,89,false,69107
83179,29.7638,89.5175,35,90,45,92,false,69107
86105,28.2092,90.7387,31,91,36,88,false,69107
90520,23.4194,88.5696,29,89,34,89,false,69107
83180,30.8819,88.8178,38,92,42,89,false,69107
86426,29.4865,91.7157,37,94,39,94,false,69107
91640,25.4605,90.0270,30,91,32,89,false,69107
85989,25.8118,91.3433,29,92,31,91,false,69107
88511,27.4074,88.9920,31,90,37,90,false,69107
85220,32.2352,92.0871,37,93,42,91,false,69107
83216,27.9900,91.0150,38,92,41,91,false,69107
89550,29.6517,90.1471,38,91,39,89,false,69107
79696,33.3554,91.0380,44,91,44,90,false,69107
86437,31.1291,91.5255,34,91,37,89,false,69107
86469,28.3193,91.5726,31,93,35,91,false,69107
86759,26.6837,89.9249,31,93,41,90,false,69107
84765,28.6326,89.8458,33,90,34,90,false,69107
88639,25.9580,89.4925,28,90,31,88,false,69107
81423,29.1822,89.7668,36,94,39,91,false,69107
85369,27.3634,91.1952,35,94,38,90,false,69107
88910,29.8338,90.4635,35,93,42,92,false,69107
88504,27.7387,91.3173,32,93,38,91,false,69107
90787,27.4414,92.0210,31,91,34,90,false,69107
83492,30.2953,90.5706,37,93,38,90,false,69107
86411,30.1461,91.6236,34,93,39,94,false,69107
88750,30.2583,90.5806,37,92,41,92,false,69107
91256,25.2933,88.6106,29,90,31,88,false,69107
87270,27.4655,90.7247,34,90,41,90,false,69107
82723,30.6306,90.3333,36,91,42,92,false,69107
85625,26.4474,89.8989,30,92,37,91,false,69107
82352,28.8559,89.6687,28,87,33,88,false,69107
85038,29.1972,90.4605,38,90,42,91,false,69107
89365,28.3584,89.6947,35,89,41,90,false,69107
85149,30.4615,90.8458,36,93,42,92,false,69107
90296,29.0611,90.0991,35,91,43,91,false,69107
82570,29.1251,90.4535,33,90,40,89,false,69107
87483,32.5105,91.4374,43,90,43,88,false,69107
89714,28.4645,91.2002,37,92,34,89,false,69107
84902,28.6036,90.7558,36,91,38,88,false,69107
85776,27.3974,90.5145,30,91,41,89,false,69107
89196,26.6166,88.8358,31,89,34,89,false,69107
86945,27.9630,90.1692,27,92,37,89,false,69107
87215,26.9229,90.6376,33,92,29,90,false,69107
88253,30.6226,88.6587,37,90,49,90,false,69107
89539,26.7968,90.9499,36,93,40,93,false,69107
91580,27.7618,90.3844,31,91,35,91,false,69107
85072,30.8288,90.0871,38,92,45,90,false,69107
83352,27.3854,89.6446,34,90,32,90,false,69107
92302,29.0400,90.2583,37,89,40,90,false,69107
83935,32.5285,91.4454,37,92,41,90,false,69107
83837,31.3594,90.8899,39,91,47,89,false,69107
84866,28.1411,92.0420,36,94,40,91,false,69107
88708,25.6286,89.8308,28,89,31,88,false,69107
86677,27.8228,91.3684,32,92,33,89,false,69107
88374,25.7217,88.7758,29,89,39,89,false,69107
83194,30.0340,89.1862,38,92,43,87,false,69107
86055,29.2462,89.1181,38,89,42,89,false,69107
85435,30.2703,90.4304,34,91,39,87,false,69107
86766,30.8098,89.4525,36,89,36,87,false,69107
86694,30.0861,91.4835,35,92,37,91,false,69107
87124,30.8869,90.7598,37,94,41,89,false,69107
87318,26.0681,90.2613,29,90,36,88,false,69107
81025,30.3293,91.2543,39,94,42,89,false,69107
89315,27.1291,91.0300,33,92,32,87,false,69107
85866,31.5656,91.1682,40,92,42,92,false,69107
91883,30.9399,90.9049,36,91,40,89,false,69107
83451,28.8018,88.9760,37,89,41,87,false,69107
90623,26.5696,89.8809,33,90,36,89,false,69107
83928,28.4765,88.5906,33,89,40,88,false,69107
84904,29.7227,92.2252,38,94,39,91,false,69107
92346,23.2963,88.1502,28,89,30,90,false,69107
86668,29.2863,90.6617,34,91,36,89,false,69107
88592,31.3834,92.0911,39,93,45,89,false,69107
89955,26.6887,90.4434,30,94,34,88,false,69107
87289,28.6907,89.1572,34,90,35,88,false,69107
